tunIss,index
AMBROISE_PARE,IS431
AMBROISE_PARE,IS433
AMBROISE_PARE,IS434
AMBROISE_PARE,IS436
AMBROISE_PARE,IS439
AMBROISE_PARE,IS441
AMBROISE_PARE,IS443
AMBROISE_PARE,IS445
ANTONY,IS316
BOBIGNY,IS224A
BOBIGNY,IS228A
BOBIGNY,IS237A
BOBIGNY,IS238A
CHAMPIGNY,IS382
CHAMPIGNY,IS383
ECHANGEUR_NANTERRE,IS120
ECHANGEUR_NANTERRE,IS136
FONTENAY,IS421A
FONTENAY,IS421B
FONTENAY,IS423
FONTENAY,IS423A
FONTENAY,IS423B
FONTENAY,IS424
GUY-MOQUET,IS271
GUY-MOQUET,IS280
LA_DEFENSE,IS103A
LUMEN_NORTON,IS212
MOULIN,IS286
MOULIN,IS287
SEVINES,IS513
SEVINES,IS514
TAVERNY,IS471
TAVERNY,IS476
