tunIss,index
ANTONY,IS311
ANTONY,IS312
ANTONY,IS313
ANTONY,IS314
ANTONY,IS315
ANTONY,IS316
ANTONY,IS320
BELLE-RIVE,IS335
BELLE-RIVE,IS341
BICETRE,IS404
BICETRE,IS405
BICETRE,IS406
BICETRE,IS408
BICETRE,IS409
BICETRE,IS411
BICETRE,IS412
BICETRE,IS413
BOBIGNY,IS223
BOBIGNY,IS224A
BOBIGNY,IS226
BOBIGNY,IS228
BOBIGNY,IS228A
BOBIGNY,IS237A
BOBIGNY,IS238A
BOBIGNY,IS240
CHAMPIGNY,IS385
CHAMPIGNY,IS386
CHAMPIGNY,IS387
CHAMPIGNY,IS388
CHAMPIGNY,IS389
CHAMPIGNY,IS390
CHAMPIGNY,IS391
CHAMPIGNY,IS392
CHAMPIGNY,IS393
CHENNEVIERES,IS492
CHENNEVIERES,IS493
ECHANGEUR_NANTERRE,IS120
ECHANGEUR_NANTERRE,IS136
ECHANGEUR_NANTERRE,IS185
ECHANGEUR_NANTERRE,IS186
FONTENAY,IS421
FONTENAY,IS421A
FONTENAY,IS421B
FONTENAY,IS422
FONTENAY,IS423
FONTENAY,IS423A
FONTENAY,IS423B
FONTENAY,IS424
GUY-MOQUET,IS271
GUY-MOQUET,IS280
ITALIE,IS401
ITALIE,IS403
LANDY,IS364
LA_COURNEUVE,IS201
LA_COURNEUVE,IS202
LA_COURNEUVE,IS203
LA_COURNEUVE,IS204
LA_DEFENSE,IS103A
LA_DEFENSE,IS156
LUMEN_NORTON,IS211
LUMEN_NORTON,IS212
LUMEN_NORTON,IS213
LUMEN_NORTON,IS214
MOULIN,IS281
MOULIN,IS286
MOULIN,IS287
NEUILLY,IS503
NEUILLY,IS504
NOGENT,IS252
NOGENT,IS253
NOGENT,IS260
NOGENT,IS264
NOGENT,IS265
NOGENT,IS267
NOGENT,IS268
SEVINES,IS513
SEVINES,IS514
TAVERNY,IS471
TAVERNY,IS476
