CodeEx,PC,Axe,Sens,triCode,Tunnel,NouvPR,Tatouage,GPS
IS101,PCO,A14,Y,A14,LA_DEFENSE,0+0295,L10.366R,"48.888824,2.248336"
IS102,PCO,N192,Y,A14,LA_DEFENSE,0+0060,L10.367S,"48.889618,2.245908"
IS103,PCO,A14,Y,A14,LA_DEFENSE,0+0735,L10.368T,"48.890550,2.243049"
IS104,PCO,A14,Y,A14,LA_DEFENSE,0+0935,L10.369U,"48.891403,2.240528"
IS105,PCO,A14,Y,A14,LA_DEFENSE,1+0100,L10.371W,"48.892033,2.238690"
IS106,PCO,A14,Y,A14,LA_DEFENSE,1+0247,L10.372X,"48.892593,2.236661"
IS107,PCO,A14,Y,A14,LA_DEFENSE,1+0439,L10.373Y,"48.893223,2.234208"
IS108,PCO,A14,Y,A14,LA_DEFENSE,1+0656,L10.374A,"48.894080,2.231542"
IS109,PCO,A14,Y,A14,LA_DEFENSE,1+0821,L10.375C,"48.894730,2.229489"
IS110,PCO,A14,Y,A14,LA_DEFENSE,2+0005,L10.376D,"48.895447,2.227197"
IS111,PCO,N314,Y,A14,LA_DEFENSE,1+0767,L10.377E,"48.896633,2.229861"
IS112,PCO,A14,Y,A14,LA_DEFENSE,2+0252,L10.378F,"48.896435,2.224183"
IS113,PCO,A14,Y,A14,LA_DEFENSE,2+0329,L10.379G,"48.896744,2.223211"
IS114,PCO,A14,Y,A14,LA_DEFENSE,2+0548,L10.381J,"48.897600,2.220506"
IS115,PCO,A14,Y,A14,LA_DEFENSE,2+0753,L10.382K,"48.898293,2.217914"
IS116,PCO,A14,Y,A14,LA_DEFENSE,2+0995,L10.383L,"48.899113,2.214819"
IS117,PCO,A14,Y,A14,LA_DEFENSE,3+0136,L10.384M,"48.899563,2.213017"
IS118,PCO,A14,Y,A14,LA_DEFENSE,3+0286,L10.385N,"48.900010,2.211083"
IS119,PCO,A14,Y,A14,LA_DEFENSE,3+0429,L10.386P,"48.900444,2.209236"
IS120,PCO,A14XA86,Y>I,ECH,ECHANGEUR_NANTERRE,0+0599,L10.387R,"48.902470,2.204833"
IS121,PCO,A14,Y,A14,LA_DEFENSE,3+0598,L10.388S,"48.900944,2.207044"
IS122,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0100,L10.389T,"48.901497,2.204719"
IS123,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0270,L10.391V,"48.902140,2.202781"
IS124,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0470,L10.392W,"48.902300,2.200139"
IS125,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0520,L10.393X,"48.902016,2.199786"
IS126,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0726,L10.394Y,"48.900060,2.199692"
IS127,PCO,A14,Y,A14,LA_DEFENSE,3+0946,L10.395A,"48.901960,2.202544"
IS128,PCO,A14,W,A14,LA_DEFENSE,3+0909,L10.396C,"48.901386,2.202947"
IS129,PCO,A14,W,A14,LA_DEFENSE,3+0756,L10.397D,"48.900800,2.204864"
IS130,PCO,A14XA86,E>Y,ECH,ECHANGEUR_NANTERRE,0+0130,L10.398E,"48.902725,2.203511"
IS131,PCO,A14XA86,E>Y,ECH,ECHANGEUR_NANTERRE,0+0290,L10.399F,"48.902744,2.201483"
IS132,PCO,A14XA86,E>W,ECH,ECHANGEUR_NANTERRE,0+0246,L10.401H,"48.902657,2.201431"
IS133,PCO,A14XA86,E>W,ECH,ECHANGEUR_NANTERRE,0+0403,L10.402J,"48.902010,2.199614"
IS134,PCO,A14XA86,E>W,ECH,ECHANGEUR_NANTERRE,0+0578,L10.403K,"48.900530,2.200236"
IS135,PCO,A14XA86,E>W,ECH,ECHANGEUR_NANTERRE,0+0700,L10.404L,"48.900440,2.201886"
IS136,PCO,A14XA86,W,ECH,ECHANGEUR_NANTERRE,0+0544,L10.405M,"48.900890,2.205090"
IS137,PCO,A14,W,A14,LA_DEFENSE,3+0524,L10.406N,"48.900284,2.207939"
IS138,PCO,A14,W,A14,LA_DEFENSE,3+0286,L10.407P,"48.899685,2.211031"
IS139,PCO,A14,W,A14,LA_DEFENSE,3+0145,L10.408R,"48.899290,2.212861"
IS140,PCO,A14,W,A14,LA_DEFENSE,2+0903,L10.409S,"48.898518,2.215944"
IS141,PCO,A14,W,A14,LA_DEFENSE,2+0760,L10.411U,"48.898045,2.217767"
IS142,PCO,A14,W,A14,LA_DEFENSE,2+0559,L10.412V,"48.897360,2.220317"
IS143,PCO,A14,W,A14,LA_DEFENSE,2+0337,L10.413W,"48.896503,2.223033"
IS144,PCO,A14,W,A14,LA_DEFENSE,2+0259,L10.414X,"48.896200,2.223992"
IS145,PCO,N314,W,A14,LA_DEFENSE,1+0840,L10.415Y,"48.893677,2.227067"
IS146,PCO,A14,W,A14,LA_DEFENSE,2+0017,L10.416A,"48.895283,2.226972"
IS147,PCO,A14,W,A14,LA_DEFENSE,1+0826,L10.417C,"48.894530,2.229342"
IS148,PCO,A14,W,A14,LA_DEFENSE,1+0659,L10.418D,"48.893860,2.231367"
IS149,PCO,A14,W,A14,LA_DEFENSE,1+0442,L10.419E,"48.892944,2.234011"
IS150,PCO,A14,W,A14,LA_DEFENSE,1+0261,L10.421G,"48.891990,2.236333"
IS151,PCO,A14,W,A14,LA_DEFENSE,1+0045,L10.422H,"48.891243,2.238633"
