Entité,Tatouage,CodeEx,Axe,Sens,Description,Tunnel,GPS,type,nbrBr,nbrEx,nbrPc
AGER_OUEST_N,L10.122A,DEF-NSW-701/DEF,N1013,W,Niche sécurité NSW-701 - PAU NM01R - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.889957,2.239356",sécurité,1,2,1
AGER_OUEST_N,L10.123C,DEF-NSW-702/DEF,N1013,W,Niche sécurité NSW-702 - PAU NM00R - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.890278,2.240661",sécurité,1,2,1
AGER_OUEST_N,L10.124D,DEF-NSW-601/DEF,N192,W,Niche sécurité NSW-601 - PAU NG01R - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.892075,2.240956",sécurité,1,2,1
AGER_OUEST_N,L10.125E,DEF-NSW-602/DEF,N192,W,Niche sécurité NSW-602 - PAU NG00S - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.889793,2.243714",sécurité,1,2,1
AGER_OUEST_N,L10.126F,DEF-NSW-603/DEF,N192,W,Niche sécurité NSW-603 - PAU NG00R - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.890770,2.241594",sécurité,1,2,1
AGER_OUEST_N,L10.129J,DEF-NSY-001/DEF,A14,Y,Niche sécurité NSY-001 - PAU NR00A - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.888294,2.250061",sécurité,1,2,1
AGER_OUEST_N,L10.131L,DEF-NSY-002/DEF,A14,Y,Niche sécurité NSY-002 - PAU NR00B - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.888763,2.249050",sécurité,1,2,1
AGER_OUEST_N,L10.132M,DEF-NSY-003/DEF,A14,Y,Niche sécurité NSY-003 - PAU NR00C - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.889248,2.247158",sécurité,1,2,1
AGER_OUEST_N,L10.133N,DEF-NSY-004/DEF,A14,Y,Niche sécurité NSY-004 - PAU NR00D - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.889763,2.245311",sécurité,1,2,1
AGER_OUEST_N,L10.134P,DEF-NSY-005/DEF,A14,Y,Niche sécurité NSY-005 - PAU NR00E - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.890324,2.243628",sécurité,1,2,1
AGER_OUEST_N,L10.135R,DEF-NSY-006/DEF,A14,Y,Niche sécurité NSY-006 - PAU NR00F - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.890980,2.242117",sécurité,1,2,1
AGER_OUEST_N,L10.136S,DEF-NSY-007/DEF,A14,Y,Niche sécurité NSY-007 - PAU NR01A - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.891490,2.240519",sécurité,1,2,1
AGER_OUEST_N,L10.137T,DEF-NSY-008/DEF,A14,Y,Niche sécurité NSY-008 - PAU NR01B - Tunnel de Nanterre-La Défense,LA_DEFENSE,"48.892105,2.238544",sécurité,1,2,1
